concept1,ICD9CM,relationship1,concept2,SNOMED,relationship2,concept3,ICD10CM
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, unspecified shoulder",M10.119
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, unspecified shoulder",M10.119
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, left elbow",M10.022
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, left elbow",M10.022
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left shoulder, without tophus (tophi)",M1A.2120
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left shoulder, without tophus (tophi)",M1A.2120
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left hand, without tophus (tophi)",M1A.0420
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left hand, without tophus (tophi)",M1A.0420
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified hand, without tophus (tophi)",M1A.4490
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified hand, without tophus (tophi)",M1A.4490
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, multiple sites, with tophus (tophi)",M1A.39X1
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, multiple sites, with tophus (tophi)",M1A.39X1
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, multiple sites, with tophus (tophi)",M1A.39X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, multiple sites, with tophus (tophi)",M1A.39X1
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, multiple sites, with tophus (tophi)",M1A.39X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right knee, without tophus (tophi)",M1A.0610
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right knee, without tophus (tophi)",M1A.0610
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, right wrist",M10.031
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, right wrist",M10.031
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, unspecified site, with tophus (tophi)",M1A.00X1
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, unspecified shoulder, with tophus (tophi)",M1A.0191
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified site, with tophus (tophi)",M1A.00X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified site, with tophus (tophi)",M1A.00X1
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified site, with tophus (tophi)",M1A.00X1
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, left knee",M10.062
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified site, with tophus (tophi)",M1A.10X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified site, with tophus (tophi)",M1A.10X1
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified site, with tophus (tophi)",M1A.10X1
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified elbow, with tophus (tophi)",M1A.1291
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified elbow, with tophus (tophi)",M1A.1291
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified elbow, with tophus (tophi)",M1A.1291
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, right wrist",M10.031
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, left elbow",M10.022
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, left shoulder, with tophus (tophi)",M1A.0121
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left elbow, with tophus (tophi)",M1A.1221
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left elbow, with tophus (tophi)",M1A.1221
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left elbow, with tophus (tophi)",M1A.1221
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, multiple sites, with tophus (tophi)",M1A.09X1
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, right wrist, with tophus (tophi)",M1A.0311
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, right ankle and foot, with tophus (tophi)",M1A.0711
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, unspecified hand, with tophus (tophi)",M1A.0491
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right wrist, with tophus (tophi)",M1A.1311
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right wrist, with tophus (tophi)",M1A.1311
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right wrist, with tophus (tophi)",M1A.1311
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left hip, with tophus (tophi)",M1A.1521
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left hip, with tophus (tophi)",M1A.1521
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left hip, with tophus (tophi)",M1A.1521
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, right elbow, with tophus (tophi)",M1A.0211
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, right knee, with tophus (tophi)",M1A.0611
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, right shoulder, with tophus (tophi)",M1A.0111
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, shoulder",M1A.01
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, wrist",M10.03
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,Idiopathic chronic gout,M1A.0
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, wrist",M1A.03
Gout with other specified manifestations,274.8,Maps to,Gout,90560007,Mapped from,Gout,M10
"Gout, unspecified",274.9,Maps to,Gout,90560007,Mapped from,Gout,M10
Gout,274,Maps to,Gout,90560007,Mapped from,Gout,M10
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, left hip",M1A.052
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, left wrist",M1A.032
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, unspecified wrist",M1A.039
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, right knee",M1A.061
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, right ankle and foot",M1A.071
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, unspecified knee",M1A.069
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, unspecified elbow",M1A.029
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified wrist, with tophus (tophi)",M1A.3391
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified wrist, with tophus (tophi)",M1A.3391
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified wrist, with tophus (tophi)",M1A.3391
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified wrist, with tophus (tophi)",M1A.3391
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified wrist, with tophus (tophi)",M1A.3391
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified elbow, with tophus (tophi)",M1A.0291
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified elbow, with tophus (tophi)",M1A.0291
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified elbow, with tophus (tophi)",M1A.0291
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified elbow, with tophus (tophi)",M1A.0291
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified elbow, with tophus (tophi)",M1A.0291
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, right ankle and foot",M10.271
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, right ankle and foot",M10.271
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right wrist, without tophus (tophi)",M1A.3310
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right wrist, without tophus (tophi)",M1A.3310
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right wrist, with tophus (tophi)",M1A.2311
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right wrist, with tophus (tophi)",M1A.2311
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right wrist, with tophus (tophi)",M1A.2311
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right wrist, with tophus (tophi)",M1A.2311
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right wrist, with tophus (tophi)",M1A.2311
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left hand, without tophus (tophi)",M1A.3420
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left hand, without tophus (tophi)",M1A.3420
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right ankle and foot, with tophus (tophi)",M1A.2711
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right ankle and foot, with tophus (tophi)",M1A.2711
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right ankle and foot, with tophus (tophi)",M1A.2711
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right ankle and foot, with tophus (tophi)",M1A.2711
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right ankle and foot, with tophus (tophi)",M1A.2711
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left knee, without tophus (tophi)",M1A.3620
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left knee, without tophus (tophi)",M1A.3620
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left hip, with tophus (tophi)",M1A.3521
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left hip, with tophus (tophi)",M1A.3521
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left hip, with tophus (tophi)",M1A.3521
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left hip, with tophus (tophi)",M1A.3521
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left hip, with tophus (tophi)",M1A.3521
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right hip, without tophus (tophi)",M1A.3510
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right hip, without tophus (tophi)",M1A.3510
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified knee, without tophus (tophi)",M1A.2690
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified knee, without tophus (tophi)",M1A.2690
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left hand, with tophus (tophi)",M1A.0421
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left hand, with tophus (tophi)",M1A.0421
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left hand, with tophus (tophi)",M1A.0421
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left hand, with tophus (tophi)",M1A.0421
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left hand, with tophus (tophi)",M1A.0421
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left elbow, with tophus (tophi)",M1A.0221
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left elbow, with tophus (tophi)",M1A.0221
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left elbow, with tophus (tophi)",M1A.0221
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left elbow, with tophus (tophi)",M1A.0221
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left elbow, with tophus (tophi)",M1A.0221
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, left hip",M10.152
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, left hip",M10.152
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, right shoulder",M10.111
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, right shoulder",M10.111
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified wrist, without tophus (tophi)",M1A.2390
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified wrist, without tophus (tophi)",M1A.2390
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified shoulder, with tophus (tophi)",M1A.2191
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified shoulder, with tophus (tophi)",M1A.2191
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified shoulder, with tophus (tophi)",M1A.2191
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified shoulder, with tophus (tophi)",M1A.2191
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified shoulder, with tophus (tophi)",M1A.2191
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, left shoulder",M10.412
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, right wrist",M10.231
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, right wrist",M10.231
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, multiple sites",M10.19
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, multiple sites",M10.19
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left knee, without tophus (tophi)",M1A.2620
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left knee, without tophus (tophi)",M1A.2620
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, right hip",M10.151
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, right hip",M10.151
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, left shoulder",M10.012
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, left shoulder",M10.012
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left hand, without tophus (tophi)",M1A.4420
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left hand, without tophus (tophi)",M1A.4420
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified wrist, without tophus (tophi)",M1A.4390
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified wrist, without tophus (tophi)",M1A.4390
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left shoulder, with tophus (tophi)",M1A.2121
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left shoulder, with tophus (tophi)",M1A.2121
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left shoulder, with tophus (tophi)",M1A.2121
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left shoulder, with tophus (tophi)",M1A.2121
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left shoulder, with tophus (tophi)",M1A.2121
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, right shoulder",M10.311
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, right hand",M10.241
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, right hand",M10.241
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, right knee",M10.161
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, right knee",M10.161
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, left ankle and foot",M10.072
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, left ankle and foot",M10.072
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, right hip",M10.051
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, right hip",M10.051
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, left wrist",M10.032
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, left wrist",M10.032
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, unspecified ankle and foot",M10.479
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, right hip",M10.251
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, right hip",M10.251
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified elbow, with tophus (tophi)",M1A.4291
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified elbow, with tophus (tophi)",M1A.4291
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified elbow, with tophus (tophi)",M1A.4291
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified elbow, with tophus (tophi)",M1A.4291
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified elbow, with tophus (tophi)",M1A.4291
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right hip, with tophus (tophi)",M1A.3511
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right hip, with tophus (tophi)",M1A.3511
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right hip, with tophus (tophi)",M1A.3511
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right hip, with tophus (tophi)",M1A.3511
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right hip, with tophus (tophi)",M1A.3511
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified wrist, without tophus (tophi)",M1A.3390
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified wrist, without tophus (tophi)",M1A.3390
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right hand, with tophus (tophi)",M1A.0411
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right hand, with tophus (tophi)",M1A.0411
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right hand, with tophus (tophi)",M1A.0411
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right hand, with tophus (tophi)",M1A.0411
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right hand, with tophus (tophi)",M1A.0411
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, vertebrae, with tophus (tophi)",M1A.48X1
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, vertebrae, with tophus (tophi)",M1A.48X1
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, vertebrae, with tophus (tophi)",M1A.48X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, vertebrae, with tophus (tophi)",M1A.48X1
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, vertebrae, with tophus (tophi)",M1A.48X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right ankle and foot, without tophus (tophi)",M1A.4710
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right ankle and foot, without tophus (tophi)",M1A.4710
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, multiple sites",M10.39
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, right knee",M10.361
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, left wrist",M10.332
